series_index,n,data_mode,cycle_index,bst_insert_total_s,bst_search_total_s,bst_search_per_op_s,bst_delete_total_s,bst_delete_per_op_s,avl_insert_total_s,avl_search_total_s,avl_search_per_op_s,avl_delete_total_s,avl_delete_per_op_s,array_search_total_s,array_search_per_op_s
4,8192,random,9,0.000821458,0,0,0.000139083,1.39083e-07,0.001167209,4.2e-08,4.2e-11,0.00018425,1.8425e-07,4.2e-08,4.2e-11
4,8192,random,10,0.000881833,0,0,0.000148417,1.48417e-07,0.001271917,4.2e-08,4.2e-11,0.0001855,1.855e-07,4.1e-08,4.1e-11
4,8192,sorted,11,0.083442542,4.1e-08,4.1e-11,0.023708459,2.3708459e-05,0.000622875,4.2e-08,4.2e-11,0.000257167,2.57167e-07,4.2e-08,4.2e-11
4,8192,sorted,12,0.081256083,4.2e-08,4.2e-11,0.024886916,2.4886916e-05,0.000629583,0,0,0.000220083,2.20083e-07,4.2e-08,4.2e-11
4,8192,sorted,13,0.078587708,4.2e-08,4.2e-11,0.022291709,2.2291709e-05,0.0006465,4.2e-08,4.2e-11,0.00022025,2.2025e-07,0,0
4,8192,sorted,14,0.076366625,0,0,0.021212042,2.1212042e-05,0.000599208,4.2e-08,4.2e-11,0.000225333,2.25333e-07,4.2e-08,4.2e-11
4,8192,sorted,15,0.089155792,4.1e-08,4.1e-11,0.021785083,2.1785083e-05,0.000619292,4.2e-08,4.2e-11,0.000222291,2.22291e-07,0,0
4,8192,sorted,16,0.084345,4.2e-08,4.2e-11,0.023766709,2.3766709e-05,0.000655625,4.1e-08,4.1e-11,0.000219459,2.19459e-07,0,0
4,8192,sorted,17,0.075883417,0,0,0.020284708,2.0284708e-05,0.000667875,4.1e-08,4.1e-11,0.000239458,2.39458e-07,4.2e-08,4.2e-11
4,8192,sorted,18,0.092408916,4.2e-08,4.2e-11,0.02355975,2.355975e-05,0.000610667,4.1e-08,4.1e-11,0.00022275,2.2275e-07,4.2e-08,4.2e-11
